Date,Match_Id,URL_Text,Batting_Session,Venue,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,URL
24-Jun-10,455237,ODI # 3001,18.45-22.15,Rangiri Dambulla International Stadium,25,28,4 km/h from SSW,6 km/h,11.0 mm,100%,57%,1008 mb,Average,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
13-Aug-10,456664,ODI # 3031,18.45-22.15,Rangiri Dambulla International Stadium,23,26,5 km/h from SW,10 km/h,0.6 mm,92%,21%,1010 mb,Excellent,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
16-Aug-10,456663,ODI # 3032,14.30-18.00,Rangiri Dambulla International Stadium,27,31,2 km/h from WNW,3 km/h,2.8 mm,82%,37%,1010 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
19-Aug-10,473315,ODI # 3037,14.30-18.00,Rangiri Dambulla International Stadium,26,30,4 km/h from SSW,6 km/h,4.2 mm,91%,37%,1010 mb,Good,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
22-Aug-10,456666,ODI # 3038,18.45-22.15,Rangiri Dambulla International Stadium,24,27,2 km/h from SSE,4 km/h,14.1 mm,98%,41%,1010 mb,Average,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
28-Aug-10,456668,ODI # 3040,14.30-18.00,Rangiri Dambulla International Stadium,27,30,9 km/h from SW,14 km/h,2.2 mm,77%,55%,1008 mb,Excellent,https://www.worldweatheronline.com/cricket/rangiri-dambulla-international-stadium-weather-history/lk.aspx
3-Nov-10,446957,ODI # 3065,18.35-22.05,Melbourne Cricket Ground,9,8,7 km/h from SSW,12 km/h,0.0 mm,80%,23%,1023 mb,Excellent,https://www.worldweatheronline.com/cricket/melbourne-cricket-ground-weather-history/au.aspx
5-Nov-10,446958,ODI # 3066,14.20-17.50,Sydney Cricket Ground,17,17,21 km/h from SSE,28 km/h,0.3 mm,66%,31%,1022 mb,Excellent,https://www.worldweatheronline.com/cricket/sydney-cricket-ground-weather-history/au.aspx
7-Nov-10,446959,ODI # 3068,13.20-16.50,"Brisbane Cricket Ground, Woolloongabba, Brisbane",23,25,17 km/h from E,23 km/h,0.4 mm,74%,27%,1018 mb,Excellent,https://www.worldweatheronline.com/cricket/brisbane-cricket-ground-the-gabba-weather-history/au.aspx
31-Jan-11,464990,ODI # 3092,13.45-17.15,"Sinhalese Sports Club Ground, Colombo",27,30,8 km/h from N,13 km/h,12.4 mm,88%,55%,1009 mb,Average,https://www.worldweatheronline.com/cricket/sinhalese-sports-club-colombo-weather-history/lk.aspx
3-Feb-11,464991,ODI # 3096,13.45-17.15,"Sinhalese Sports Club Ground, Colombo",26,29,24 km/h from N,36 km/h,0.5 mm,83%,68%,1009 mb,Good,https://www.worldweatheronline.com/cricket/sinhalese-sports-club-colombo-weather-history/lk.aspx
6-Feb-11,464992,ODI # 3099,09.30-13.00,"Sinhalese Sports Club Ground, Colombo",30,34,16 km/h from N,19 km/h,0.0 mm,63%,25%,1009 mb,Excellent,https://www.worldweatheronline.com/cricket/sinhalese-sports-club-colombo-weather-history/lk.aspx
20-Feb-11,433560,ODI # 3102,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26,28,9 km/h from ENE,15 km/h,0.5 mm,88%,26%,1012 mb,Excellent,https://www.worldweatheronline.com/cricket/mahinda-rajapaksa-international-stadium-weather-history/lk.aspx
26-Feb-11,433567,ODI # 3109,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",26,29,3 km/h from WNW,6 km/h,0.0 mm,82%,12%,1011 mb,Excellent,
1-Mar-11,433571,ODI # 3113,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",26,28,18 km/h from NNE,30 km/h,0.6 mm,75%,22%,1010 mb,Excellent,https://www.worldweatheronline.com/cricket/rpremadasa-stadium-khettarama-colombo-weather-history/lk.aspx
5-Mar-11,433577,ODI # 3119,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",28,33,12 km/h from W,16 km/h,0.0 mm,72%,20%,1009 mb,Excellent,
10-Mar-11,433583,ODI # 3125,14.30-18.00,Pallekele International Cricket Stadium,30,31,5 km/h from N,6 km/h,0.0 mm,45%,0%,1008 mb,Excellent,https://www.worldweatheronline.com/cricket/pallekele-cricket-stadium-kandy-weather-history/lk.aspx
18-Mar-11,433594,ODI # 3137,14.30-18.00,"Wankhede Stadium, Mumbai",32,34,15 km/h from W,17 km/h,0.0 mm,47%,0%,1006 mb,Excellent,https://www.worldweatheronline.com/cricket/wankhede-stadium-mumbai-weather-history/in.aspx
26-Mar-11,433603,ODI # 3145,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",27,31,10 km/h from SW,15 km/h,0.4 mm,85%,35%,1011 mb,Excellent,
29-Mar-11,433604,ODI # 3146,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",27,31,6 km/h from WNW,10 km/h,0.8 mm,86%,14%,1011 mb,Excellent,
2-Apr-11,433606,ODI # 3148,14.30-18.00,"Wankhede Stadium, Mumbai",30,33,15 km/h from WNW,17 km/h,0.0 mm,61%,0%,1008 mb,Excellent,
28-Jun-11,474467,ODI # 3165,17.15-20.45,"Kennington Oval, London",17,17,17 km/h from NNW,22 km/h,2.0 mm,92%,98%,1015 mb,Excellent,https://www.worldweatheronline.com/cricket/kennington-oval-london-weather-history/gb.aspx
1-Jul-11,474468,ODI # 3167,10.45-14.15,"Headingley, Leeds",17,17,5 km/h from WNW,6 km/h,0.2 mm,64%,75%,1026 mb,Excellent,https://www.worldweatheronline.com/cricket/headingley-leeds-weather-history/gb.aspx
3-Jul-11,474469,ODI # 3168,15.00-18.30,"Lord's, London",21,21,6 km/h from N,8 km/h,0.2 mm,66%,39%,1017 mb,Excellent,https://www.worldweatheronline.com/cricket/lords-london-weather-history/gb.aspx
6-Jul-11,474470,ODI # 3169,14.00-17.30,"Trent Bridge, Nottingham",17,17,20 km/h from SSW,26 km/h,0.8 mm,66%,78%,1002 mb,Excellent,https://www.worldweatheronline.com/cricket/trent-bridge-nottingham-weather-history/gb.aspx
9-Jul-11,474471,ODI # 3170,15.00-18.30,"Old Trafford, Manchester",17,17,22 km/h from WNW,26 km/h,0.3 mm,68%,10%,1011 mb,Excellent,https://www.worldweatheronline.com/cricket/old-trafford-manchester-weather-history/gb.aspx
13-Jul-11,506208,ODI # 3172,10.45-14.15,"Grange Cricket Club, Raeburn Place, Edinburgh",16,16,6 km/h from NE,7 km/h,0.0 mm,74%,42%,1022 mb,Excellent,https://www.worldweatheronline.com/cricket/grange-cricket-club-edinburgh-weather-history/gb.aspx
10-Aug-11,516206,ODI # 3175,14.30-18.00,Pallekele International Cricket Stadium,27,29,15 km/h from WSW,20 km/h,4.6 mm,67%,19%,1007 mb,Good,
14-Aug-11,516207,ODI # 3178,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",28,32,26 km/h from WSW,39 km/h,0.0 mm,79%,26%,1010 mb,Excellent,
16-Aug-11,516208,ODI # 3180,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27,30,23 km/h from WSW,34 km/h,0.3 mm,80%,47%,1010 mb,Excellent,
20-Aug-11,516209,ODI # 3182,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",29,32,17 km/h from WSW,22 km/h,3.2 mm,72%,25%,1007 mb,Good,
22-Aug-11,516210,ODI # 3184,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",27,30,15 km/h from SSW,23 km/h,2.3 mm,79%,22%,1009 mb,Excellent,
11-Nov-11,530427,ODI # 3212,15.00-18.30,Dubai International Cricket Stadium,27,27,12 km/h from NNW,16 km/h,0.0 mm,42%,0%,1015 mb,Excellent,https://www.worldweatheronline.com/cricket/dubai-international-cricket-stadium-dubai-weather-history/ae.aspx
14-Nov-11,530428,ODI # 3213,15.00-18.30,Dubai International Cricket Stadium,28,29,12 km/h from NW,16 km/h,0.0 mm,48%,0%,1014 mb,Excellent,https://www.worldweatheronline.com/cricket/dubai-international-cricket-stadium-dubai-weather-history/ae.aspx
18-Nov-11,530429,ODI # 3214,19.15-22.45,Dubai International Cricket Stadium,27,29,13 km/h from NW,19 km/h,0.0 mm,70%,0%,1014 mb,Excellent,https://www.worldweatheronline.com/cricket/dubai-international-cricket-stadium-dubai-weather-history/ae.aspx
20-Nov-11,530430,ODI # 3215,19.15-22.45,Sharjah Cricket Stadium,29,30,17 km/h from ENE,28 km/h,0.0 mm,54%,3%,1015 mb,Excellent,https://www.worldweatheronline.com/cricket/sharjah-cricket-association-stadium-weather-history/ae.aspx
23-Nov-11,530431,ODI # 3216,15.00-18.30,"Sheikh Zayed Stadium, Abu Dhabi",27,28,22 km/h from NNW,27 km/h,0.0 mm,61%,15%,1013 mb,Excellent,https://www.worldweatheronline.com/cricket/sheikh-zayed-stadium-abu-dhabi-weather-history/ae.aspx
11-Jan-12,514035,ODI # 3225,18.45-22.15,"Boland Park, Paarl",18,18,10 km/h from WSW,17 km/h,0.0 mm,68%,0%,1010 mb,Excellent,https://www.worldweatheronline.com/cricket/boland-park-weather-history/za.aspx
14-Jan-12,514036,ODI # 3226,10.00-13.30,"Buffalo Park, East London",23,25,13 km/h from ESE,15 km/h,0.3 mm,76%,88%,1019 mb,Excellent,https://www.worldweatheronline.com/cricket/buffalo-park-east-london-weather-history/za.aspx
17-Jan-12,514037,ODI # 3227,14.30-18.00,"Mangaung Oval, Bloemfontein",29,28,11 km/h from SSW,13 km/h,0.0 mm,28%,6%,1009 mb,Excellent,https://www.worldweatheronline.com/cricket/goodyear-park-bloemfontein-weather-history/za.aspx
20-Jan-12,514038,ODI # 3228,18.45-22.15,"Diamond Oval, Kimberley",25,26,20 km/h from SSW,28 km/h,6.1 mm,56%,25%,1007 mb,Good,https://www.worldweatheronline.com/cricket/de-beers-diamond-oval-kimberley-weather-history/za.aspx
22-Jan-12,514039,ODI # 3229,14.15-17.45,"The Wanderers Stadium, Johannesburg",25,27,7 km/h from W,14 km/h,5.8 mm,66%,19%,1005 mb,Good,https://www.worldweatheronline.com/cricket/new-wanderers-johannesburg-weather-history/za.aspx
8-Feb-12,518957,ODI # 3233,12.20-15.50,"W.A.C.A. Ground, Perth",33,32,15 km/h from E,17 km/h,0.0 mm,25%,8%,1012 mb,Excellent,https://www.worldweatheronline.com/cricket/western-australian-cricket-association-ground-the-waca-perth-weather-history/au.aspx
10-Feb-12,518958,ODI # 3235,16.35-20.05,"W.A.C.A. Ground, Perth",24,26,2 km/h from W,4 km/h,0.0 mm,78%,0%,1011 mb,Excellent,https://www.worldweatheronline.com/cricket/western-australian-cricket-association-ground-the-waca-perth-weather-history/au.aspx
14-Feb-12,518960,ODI # 3239,13.50-17.20,Adelaide Oval,29,28,13 km/h from WSW,27 km/h,0.0 mm,36%,47%,1013 mb,Excellent,https://www.worldweatheronline.com/cricket/adelaide-oval-weather-history/au.aspx
17-Feb-12,518961,ODI # 3241,18.25-21.55,Sydney Cricket Ground,22,22,17 km/h from NE,28 km/h,0.0 mm,80%,31%,1016 mb,Excellent,
21-Feb-12,518963,ODI # 3246,13.20-16.50,"Brisbane Cricket Ground, Woolloongabba, Brisbane",29,33,9 km/h from N,13 km/h,1.9 mm,76%,19%,1007 mb,Excellent,
24-Feb-12,518964,ODI # 3248,18.25-21.55,"Bellerive Oval, Hobart",15,15,8 km/h from NE,17 km/h,0.0 mm,90%,0%,1017 mb,Excellent,https://www.worldweatheronline.com/cricket/bellerive-oval-hobart-weather-history/au.aspx
28-Feb-12,518966,ODI # 3251,14.20-17.50,"Bellerive Oval, Hobart",16,16,27 km/h from SSE,35 km/h,0.0 mm,59%,37%,1017 mb,Excellent,https://www.worldweatheronline.com/cricket/bellerive-oval-hobart-weather-history/au.aspx
2-Mar-12,518967,ODI # 3253,14.20-17.50,Melbourne Cricket Ground,17,17,11 km/h from SE,19 km/h,0.3 mm,76%,87%,1015 mb,Poor,
4-Mar-12,518968,ODI # 3255,17.35-21.05,"Brisbane Cricket Ground, Woolloongabba, Brisbane",24,27,18 km/h from ESE,29 km/h,0.7 mm,90%,73%,1013 mb,Excellent,
6-Mar-12,518969,ODI # 3256,18.05-21.35,Adelaide Oval,18,18,23 km/h from SSE,33 km/h,0.0 mm,71%,11%,1024 mb,Excellent,
8-Mar-12,518970,ODI # 3257,18.05-21.35,Adelaide Oval,21,21,9 km/h from S,15 km/h,0.0 mm,53%,33%,1015 mb,Excellent,
13-Mar-12,535795,ODI # 3259,18.15-21.45,"Shere Bangla National Stadium, Mirpur, Dhaka",29,29,11 km/h from ENE,23 km/h,0.0 mm,40%,6%,1009 mb,Excellent,
15-Mar-12,535796,ODI # 3260,14.00-17.30,"Shere Bangla National Stadium, Mirpur, Dhaka",33,31,12 km/h from WNW,13 km/h,0.0 mm,25%,4%,1010 mb,Excellent,
20-Mar-12,535799,ODI # 3265,14.00-17.30,"Shere Bangla National Stadium, Mirpur, Dhaka",33,36,4 km/h from ESE,5 km/h,0.2 mm,44%,49%,1007 mb,Excellent,
7-Jun-12,562439,ODI # 3272,14.30-18.00,Pallekele International Cricket Stadium,26,28,22 km/h from WSW,28 km/h,0.5 mm,70%,33%,1006 mb,Excellent,
9-Jun-12,562440,ODI # 3273,14.30-18.00,Pallekele International Cricket Stadium,26,28,19 km/h from WSW,23 km/h,0.3 mm,75%,28%,1006 mb,Excellent,
13-Jun-12,562441,ODI # 3274,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",26,29,16 km/h from SSW,23 km/h,1.9 mm,82%,43%,1009 mb,Excellent,
16-Jun-12,562442,ODI # 3275,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",28,32,21 km/h from WSW,29 km/h,0.4 mm,73%,49%,1007 mb,Excellent,
18-Jun-12,562443,ODI # 3277,18.45-22.15,"R.Premadasa Stadium, Khettarama, Colombo",27,31,16 km/h from SW,23 km/h,0.0 mm,79%,80%,1012 mb,Excellent,
21-Jul-12,564781,ODI # 3291,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26,29,24 km/h from W,33 km/h,0.0 mm,81%,14%,1010 mb,Excellent,
24-Jul-12,564782,ODI # 3292,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27,30,25 km/h from W,37 km/h,0.0 mm,81%,19%,1009 mb,Excellent,
28-Jul-12,564783,ODI # 3293,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",29,32,17 km/h from WSW,22 km/h,0.3 mm,73%,31%,1007 mb,Excellent,
31-Jul-12,564784,ODI # 3294,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",28,32,18 km/h from WSW,23 km/h,0.0 mm,73%,33%,1009 mb,Excellent,
4-Aug-12,564785,ODI # 3295,18.45-22.15,Pallekele International Cricket Stadium,22,25,12 km/h from SW,19 km/h,0.0 mm,84%,8%,1009 mb,Excellent,
4-Nov-12,582188,ODI # 3305,18.45-22.15,Pallekele International Cricket Stadium,23,25,2 km/h from NW,3 km/h,3.3 mm,93%,58%,1010 mb,Good,
6-Nov-12,582189,ODI # 3306,18.45-22.15,Pallekele International Cricket Stadium,23,25,0 km/h from WNW,1 km/h,3.2 mm,94%,58%,1011 mb,Good,
10-Nov-12,582190,ODI # 3307,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26,29,8 km/h from NNW,13 km/h,2.9 mm,83%,15%,1011 mb,Good,
12-Nov-12,582191,ODI # 3308,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26,29,2 km/h from ESE,4 km/h,5.4 mm,82%,37%,1012 mb,Good,
11-Jan-13,573014,ODI # 3317,18.35-22.05,Melbourne Cricket Ground,20,20,16 km/h from S,21 km/h,0.0 mm,61%,2%,1003 mb,Excellent,
13-Jan-13,573015,ODI # 3319,18.05-21.35,Adelaide Oval,19,19,20 km/h from S,26 km/h,0.0 mm,63%,8%,1018 mb,Excellent,
18-Jan-13,573016,ODI # 3321,17.35-21.05,"Brisbane Cricket Ground, Woolloongabba, Brisbane",24,26,20 km/h from NNE,31 km/h,0.0 mm,76%,42%,1008 mb,Excellent,
20-Jan-13,573017,ODI # 3324,18.35-22.05,Sydney Cricket Ground,22,22,8 km/h from E,11 km/h,0.1 mm,84%,73%,1016 mb,Excellent,
23-Jan-13,573018,ODI # 3326,18.35-22.05,"Bellerive Oval, Hobart",12,11,13 km/h from ENE,18 km/h,0.0 mm,73%,51%,1022 mb,Excellent,
23-Mar-13,602474,ODI # 3349,18.45-22.15,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27,31,3 km/h from NNW,4 km/h,1.4 mm,80%,16%,1010 mb,Excellent,
25-Mar-13,602475,ODI # 3351,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27,30,9 km/h from NE,18 km/h,6.9 mm,82%,29%,1010 mb,Good,
28-Mar-13,602476,ODI # 3352,14.30-18.00,Pallekele International Cricket Stadium,28,31,8 km/h from WNW,11 km/h,5.8 mm,74%,50%,1008 mb,Good,
9-Jun-13,578617,ODI # 3366,10.30-14.00,"Sophia Gardens, Cardiff",14,13,14 km/h from ENE,17 km/h,0.0 mm,70%,10%,1017 mb,Excellent,https://www.worldweatheronline.com/cricket/sophia-gardens-cardiff-weather-history/gb.aspx
13-Jun-13,578621,ODI # 3370,17.15-20.45,"Kennington Oval, London",15,15,18 km/h from W,28 km/h,0.0 mm,65%,78%,1013 mb,Excellent,
17-Jun-13,578625,ODI # 3374,13.00-16.30,"Kennington Oval, London",19,19,18 km/h from ENE,20 km/h,0.0 mm,61%,47%,1014 mb,Excellent,
20-Jun-13,566947,ODI # 3376,10.30-14.00,"Sophia Gardens, Cardiff",18,18,9 km/h from ESE,12 km/h,0.0 mm,90%,87%,1012 mb,Excellent,
28-Jun-13,597923,ODI # 3378,09.30-13.00,"Sabina Park, Kingston, Jamaica",29,33,15 km/h from ESE,25 km/h,2.9 mm,78%,47%,1013 mb,Good,
2-Jul-13,597925,ODI # 3382,09.30-13.00,"Sabina Park, Kingston, Jamaica",27,31,18 km/h from ESE,26 km/h,1.6 mm,85%,67%,1016 mb,Excellent,https://www.worldweatheronline.com/cricket/sabina-park-kingston-jamaica-weather-history/xw.aspx
7-Jul-13,597927,ODI # 3385,09.30-13.00,"Queen's Park Oval, Port of Spain, Trinidad",28,32,9 km/h from E,13 km/h,0.5 mm,77%,30%,1014 mb,Excellent,
9-Jul-13,597928,ODI # 3387,13.45-17.15,"Queen's Park Oval, Port of Spain, Trinidad",28,31,22 km/h from E,33 km/h,0.0 mm,71%,15%,1013 mb,Excellent,
11-Jul-13,597929,ODI # 3388,09.30-13.00,"Queen's Park Oval, Port of Spain, Trinidad",28,32,15 km/h from ENE,21 km/h,0.1 mm,70%,51%,1015 mb,Excellent,
20-Jul-13,635653,ODI # 3392,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",27,31,16 km/h from WSW,21 km/h,0.4 mm,81%,36%,1007 mb,Excellent,
23-Jul-13,635654,ODI # 3394,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",28,31,17 km/h from SW,22 km/h,1.6 mm,74%,28%,1007 mb,Excellent,
26-Jul-13,635655,ODI # 3398,18.45-22.15,Pallekele International Cricket Stadium,22,22,12 km/h from SW,21 km/h,0.0 mm,77%,19%,1009 mb,Excellent,
28-Jul-13,635656,ODI # 3400,18.45-22.15,Pallekele International Cricket Stadium,23,25,9 km/h from SW,14 km/h,0.7 mm,86%,21%,1012 mb,Excellent,
31-Jul-13,635657,ODI # 3401,14.30-18.00,"R.Premadasa Stadium, Khettarama, Colombo",27,31,18 km/h from WSW,24 km/h,0.6 mm,78%,29%,1006 mb,Excellent,
10-Nov-13,668961,ODI # 3432,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",26,30,3 km/h from S,5 km/h,3.4 mm,84%,40%,1010 mb,Good,
12-Nov-13,668963,ODI # 3434,14.30-18.00,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",27,30,6 km/h from ESE,13 km/h,8.4 mm,79%,63%,1009 mb,Average,
16-Nov-13,668965,ODI # 3435,10.00-13.30,Rangiri Dambulla International Stadium,29,32,6 km/h from NNE,8 km/h,0.2 mm,71%,19%,1010 mb,Excellent,
18-Dec-13,657637,ODI # 3445,19.15-22.45,Sharjah Cricket Stadium,24,25,11 km/h from N,16 km/h,0.0 mm,46%,9%,1018 mb,Excellent,
20-Dec-13,657639,ODI # 3446,19.15-22.45,Dubai International Cricket Stadium,23,25,35 km/h from W,48 km/h,0.0 mm,59%,0%,1016 mb,Excellent,
22-Dec-13,657641,ODI # 3447,19.15-22.45,Sharjah Cricket Stadium,22,22,9 km/h from SE,13 km/h,0.8 mm,60%,11%,1018 mb,Excellent,
25-Dec-13,657643,ODI # 3448,15.00-18.30,"Sheikh Zayed Stadium, Abu Dhabi",22,24,26 km/h from N,34 km/h,0.0 mm,33%,0%,1023 mb,Excellent,
27-Dec-13,657645,ODI # 3450,19.15-22.45,"Sheikh Zayed Stadium, Abu Dhabi",20,20,21 km/h from NNW,29 km/h,0.0 mm,68%,2%,1022 mb,Excellent,
17-Feb-14,690355,ODI # 3469,13.00-16.30,"Shere Bangla National Stadium, Mirpur, Dhaka",23,25,10 km/h from W,12 km/h,0.0 mm,64%,24%,1013 mb,Excellent,
20-Feb-14,690357,ODI # 3470,13.00-16.30,"Shere Bangla National Stadium, Mirpur, Dhaka",29,29,6 km/h from WNW,7 km/h,0.0 mm,39%,0%,1013 mb,Excellent,
22-Feb-14,690359,ODI # 3471,17.15-20.45,"Shere Bangla National Stadium, Mirpur, Dhaka",24,25,6 km/h from NNW,12 km/h,0.0 mm,44%,4%,1012 mb,Excellent,
25-Feb-14,710291,ODI # 3473,14.00-17.30,"Khan Shaheb Osman Ali Stadium, Fatullah",28,30,18 km/h from NE,24 km/h,0.0 mm,60%,8%,1012 mb,Excellent,https://www.worldweatheronline.com/cricket/narayanganj-osmani-stadium-weather-history/bd.aspx
28-Feb-14,710297,ODI # 3476,18.15-21.45,"Khan Shaheb Osman Ali Stadium, Fatullah",24,26,27 km/h from NE,39 km/h,0.0 mm,79%,2%,1014 mb,Excellent,https://www.worldweatheronline.com/cricket/narayanganj-osmani-stadium-weather-history/bd.aspx
3-Mar-14,710303,ODI # 3481,14.00-17.30,"Shere Bangla National Stadium, Mirpur, Dhaka",31,30,15 km/h from NW,17 km/h,0.0 mm,28%,9%,1012 mb,Excellent,
6-Mar-14,710309,ODI # 3485,18.15-21.45,"Shere Bangla National Stadium, Mirpur, Dhaka",26,26,6 km/h from WNW,12 km/h,0.0 mm,37%,6%,1011 mb,Excellent,
8-Mar-14,710311,ODI # 3486,18.15-21.45,"Shere Bangla National Stadium, Mirpur, Dhaka",28,27,5 km/h from NNW,11 km/h,0.0 mm,32%,2%,1012 mb,Excellent,
6-May-14,706767,ODI # 3490,10.45-14.15,"Castle Avenue, Dublin",13,11,23 km/h from S,33 km/h,0.0 mm,75%,54%,1002 mb,Excellent,
22-May-14,667889,ODI # 3492,17.15-20.45,"Kennington Oval, London",16,16,11 km/h from SSE,16 km/h,0.0 mm,70%,16%,1002 mb,Excellent,
25-May-14,667891,ODI # 3493,10.30-14.00,"Riverside Ground, Chester-le-Street",14,12,11 km/h from SE,12 km/h,0.6 mm,74%,78%,1015 mb,Excellent,
28-May-14,667893,ODI # 3494,14.00-17.30,"Old Trafford, Manchester",11,10,14 km/h from NNE,21 km/h,0.9 mm,97%,100%,1015 mb,Excellent,
31-May-14,667895,ODI # 3495,10.30-14.00,"Lord's, London",17,17,7 km/h from N,9 km/h,0.1 mm,63%,74%,1025 mb,Excellent,
